product_name,protein_value,fat_value,carbohydrate_value,kcal_value
Капуста брюссельская,4.800000191,0,8,43
Капуста брюссельская 4 сезона,4.800000191,0.3,3.1,36
Капуста брюссельская Hortex,4.5,0.5,3.2,46
Капуста брюссельская Бондюэль замороженная,4,0.5,8,31
Капуста брюссельская замороженная,4.5,0.5,8.4,36
Капуста кале,3.299999952,0.7,8,50
Капуста квашеная,1.799999952,0.1,4.4,19
Капуста кольраби,2.799999952,0,10.7,42
Капуста консервированная,1.299999952,0.1,3.6,23
Капуста краснокочанная,0.800000012,0,7.6,24
Капуста пак-чой,1.5,0.2,2.2,13
Капуста пекинская,1.200000048,0.2,2,16
Капуста по-корейски готовая,1.5,7,7.9,87
Капуста романеско,2.5,0.3,4.2,30
Капуста романеско Бондюэль,2.900000095,0.5,2.2,25
Капуста савойская,1.200000048,0.1,6,28
Капуста цветная,2.5,0.3,5.4,30
Капуста цветная 4 сезона,2.5,0.3,4.6,31
Капуста цветная Hortex,2.200000048,0.2,2.3,24
Капуста цветная Бондюэль замороженная,1.600000024,0.2,3.9,14
Капуста цветная варёная,1.799999952,0.3,4,29
Капуста цветная жареная,3,10,5.7,120
Капуста цветная консервированная,2.5,0.3,4.2,28
Каравай Праздничный,7.699999809,6.3,45.9,276
Каракатица,16.20000076,0.7,0.8,79
Каракатица (чернила),16.20000076,0.7,0.8,79
Карамбола,1,0,7,31
Карамель леденцовая,0,0.1,96.2,362
Карамель леденцовая Halls оригинальная,0.100000001,0,97,395
Карамель леденцовая Tunes с ароматом ментола и мяты,0,1.8,95.8,398
Карамель с ликёром,0,0.1,92.6,358
Карамель фруктовая,0.100000001,0.1,92.2,357
Карамель шоколадно-ореховая,1.799999952,9.2,86.8,420
Караса кани,10.10000038,1,9,85
Карась маринованный,15.5,8.2,0.6,136
Карась отварной,20.70000076,2.1,0,102
Карась свежий,17.70000076,1.8,0,87
Карбонад варёно-копчёный,16,8,0,135
Кардамон,10.80000019,6.7,68.5,311
Кардамон чёрный,10.69999981,6.8,40.5,311
Карп жареный,18.29999924,11.6,4.5,196
Карп консервированный,13.60000038,8.7,1.4,138
Карп маринованный,13.60000038,8.7,1.4,138
Карп отварной,16,3.7,2,102
Карп свежий,16,5.3,0,112
Карпаччо МакЛарин из курицы,22,5,0,133
Карпаччо Равис из мяса птицы сыровяленное,40,16,0,322
Карри,12.69999981,13.8,25,352
Картофель,2,0.4,16.1,76
Картофель 4 сезона по-деревенски,2.5,4,23.5,130
Картофель 4 сезона фри,2.099999905,3.3,11,105
Картофель варёный,2,0.4,16.7,82
Картофель Деревенский Бургер Кинг,2.900000095,10.8,28.5,223
Картофель жареный,2.799999952,9.5,23.4,192
Картофель Кинг Фри Бургер Кинг,4.699999809,13.1,33.6,275
Картофель молодой,2.400000095,0.4,12.4,61
Картофель по-деревенски McDonalds,4,15,42,330
Картофель сладкий (батат),2,0,14.6,61
Картофель сушеный,6.599999905,0.3,71.6,298
Картофель фиолетовый,2,0.4,16,72
Картофель фри KFC (стандартная порция),3.799999952,15.5,30.1,276
Картофель фри McDonalds (большая порция),5,22,54,445
Картофель фри McDonalds (маленькая порция),3,12,29,240
Картофель фри McDonalds (средняя порция),5,17,42,340
Картофельное пюре,2.5,4.2,14.7,106
Картофельное пюре быстрого приготовления сухое,10.5,3.8,75.3,337
Картофельное пюре Доширак со вкусом грибов,5.099999905,5.3,71.2,350
Картофельное пюре Доширак со вкусом сыра,7.5,2.3,74.8,350
Картофельное пюре Роллтон с курицей,10,7,69,380
Картофельное пюре Роллтон с сухариками,10.5,3.8,75.3,377
Картофельные хлопья,7,1.1,83,369
Кассия,3.900000095,1.2,27.5,250
Катык 0.1%,2.799999952,0.1,4.2,28
Катык 3.2%,2.799999952,3.2,4.2,56
Катык 6%,2.799999952,6,3.6,80
Каша 3 злака Nestle молочная с яблоком и грушей,14,10,67.5,416
Каша 4-х зерновая Myllyn Paras,11.39999962,2.8,61.1,320
Каша 5 злаков Nestle молочная с яблоком и бананом,14,10,68,418
Каша 7 злаков Маtti,12,5,56,320
Каша 7 злаков Малютка безмолочная,10.89999962,2.2,73.2,374
Каша Dymatize Elite High Protein Granola,47.20000076,3.5,40.3,368
Каша Dymatize Elite High Protein Oatmeal,48.59999847,3.5,34.7,361
Каша овсяная Bombbar протеиновая малина,33,5.5,47,371
Каша овсяная Bombbar протеиновая мёд-миндаль,20,4.6,27,235
Каша овсяная Леовит Худеем за неделю Абрикос,9.300000191,4.5,66.6,344
Каша овсяная Леовит Худеем за неделю Яблоко и корица,9,5.5,67,350
Кашка Ам-Ам Мамина забота молочно-овсяная с клубникой,2.799999952,2.5,10,75
Каштан жареный,3.200000048,2.2,33.8,182
Каштан консервированный,3.400000095,2.2,50,213
Каштан свежий,3.400000095,3,30.6,166
Квас Очаковский,0,0,5.5,30
Квас хлебный,0.200000003,0,5.2,27
Кедровые орехи,15.60000038,56,28.4,680
Кедровый жмых,31,19,33,432
Кукурузная крупа,8.300000191,1.2,75,337
Кедрокофе классический Sibereco,17.20000076,16.3,26.3,301
Кекс с изюмом,6.400000095,17.6,53.6,384
Кекс Уфимский,6.5,11,43.2,295
Кекс Яшкино Итальянский с клубничным джемом и сливочным кремом,5.5,18,50,380
Кервель сушеный,23.20000076,3.9,49.1,237
Кета Дивный берег слабосолёная филе-ломтики,24.29999924,9.6,0,184
Кета Дивный берег х/к филе-ломтики,22,10,0,178
Кета Русское море горячего копчения филе-кусок,25,9,0,181
Кета свежая,22,5.6,0,138
Кета соленая,24.29999924,9.6,0,184
Кетчуп,1.799999952,1,22.2,93
Кетчуп Fine Life чесночный,1,0,22,93
Кетчуп Heinz для гриля и шашлыка,0.899999976,0,23.4,97
Кетчуп Heinz острый,0.899999976,0,23.2,96
Кетчуп Heinz с чесноком и пряностями,1.100000024,0,24.1,101
Кетчуп Heinz супер острый,0.899999976,0,23.2,96
Кетчуп Heinz томатный,0.899999976,0,23.1,96
Кетчуп Zero низкокалорийный,1.100000024,0.2,7.3,35
Кетчуп Махеевъ перечный микс,1.299999952,0,18.9,81
Кетчуп Махеевъ пряные травы с кинзой,1.299999952,0,18.9,81
Кетчуп Махеевъ с аджикой и кумином,1.600000024,0,19.4,84
Кетчуп Слобода томатный,1.200000048,0,18.7,82
Кетчуп Чумак томатный,1.299999952,0.2,20.1,90
Кефаль отварная,19,4.3,0,115
Кефаль свежая,21,0.4,0,124
Кефаль чёрная (лобан),19.29999924,3.8,0,117
Кефир 0%,3,0.1,3.8,30
Кефир 1%,2.799999952,1,4,40
Кефир 1.5%,3.299999952,1.5,3.6,41
Кефир 2%,3.400000095,2,4.7,51
Кефир 2.5%,2.799999952,2.5,3.9,50
Кефир 3.2%,2.799999952,3.2,4.1,56
Кефир Агуша 3.2%,2.700000048,3.2,4,56
Кефир Брест-Литовск 3.6%,2.799999952,3.6,4,60
Кефир Крымский молочник 2.5%,2.900000095,2.5,4,53
Кефирный продукт Био Баланс 0%,3.200000048,0.1,4.5,32
Кефирный продукт Био Баланс 1%,3,1,5,41
Кешью жареный,17.5,42.2,30.5,572
Кешью необжаренный,17.5,42.5,30.5,572
Кивано,1.799999952,1.3,7.6,44
Киви,1,0.6,10.3,48
Кижуч,21.60000038,6,0,140
Кизил,1,0,10.5,44
Килька балтийская,14.10000038,9,0,137
Килька горячего копчения,21.29999924,8.5,0,162
Килька каспийская,18.5,13.1,0,191
Килька консервированная,12,11,3.1,159
Килька обжаренная в томатном соусе,14,12,4.5,182
Килька пряного посола,14.80000019,10.5,0,154
Килька соленая,17.10000038,7.6,0,137
Кимучи,1.399999976,0.7,8.4,45
Кинза,2.099999905,0.5,1.9,23
Кинза сушёная молотая,3,0,54.5,216
Киноа,14.10000038,6.1,57.2,368
Киноа Мистраль,14,6,64,368
Кинси маки,8.5,18,2.4,210
Кипрей (Иван-чай) сушеный,4.599999905,1.8,31.6,150
Кисель из вишневого сока,0.200000003,0,18.9,78
Кисель из клюквы,0,0,13,53
Кисель из кураги,0.400000006,0,12.9,54
Кисель из сливового варенья,0.100000001,0,15.5,63
Кисель из сушеных яблок,0.100000001,0,16.3,66
Кисель из яблок,0.100000001,0.1,23.7,97
Кисель Леовит Рецепт здоровья желудочный нейтральный,0.200000003,0,93.3,351
Кисель ФрутоНяня из клюквы,0,0,11,44
Кисель ФрутоНяня из малины,0,0,11.5,46
Кисломолочный напиток Агуша Я Сам! Иммунити,2,3.4,8.3,72
Кислородный коктейль Экотейль,7,0,83,360
Китовое мясо,22.5,3.2,0,119
Клекачка колхидская (Джонджоли),2.400000095,0.9,1.7,23
Клементин,0.899999976,0.2,10.3,47
Клетчатка Агросельпром из молотых семян кунжута,50.70000076,19.8,11,425
Клетчатка Агросельпром из отрубей гречихи,15.5,4.3,64.5,343
Клетчатка Агросельпром из отрубей ржи,11,3,56.8,284
Клетчатка Агросельпром из семян льна,34,14,9,298
Клетчатка Агросельпром из ядер тыквенных семечек,27,10,19,274
Клетчатка мелкая,16,3.8,23.5,186
Клетчатка Сибирская,0.5,0.5,4,40
Клецки,5,4.8,25.8,160
Клубника,0.800000012,0.4,7.5,41
Клубника 4 сезона,0.800000012,0.1,6.6,34
Клубника Hortex,0.699999988,0.4,5.4,32
Клубника консервированная,0.600000024,0.3,16.1,65
Клубничный сок,0.600000024,0.4,7,31
Клыкач,14.39999962,16.1,0,202
Клюква,0.5,0,6.8,26
Клюква 4 сезона,0.5,0.2,3.9,18
Клюква Hortex,0.5,0,3.8,17
Клюква сушеная,0.100000001,1.4,76.5,308
Клюквенный сок,0.400000006,0.3,11,46
Кнели по-петелински Петелинка,12,12,5,180
Княженика,0,0,7,26
Кожура мандарина,0.800000012,0.2,12,52
Козинак Арахисовый,14.30000019,25.1,52.5,485
Козинак Кунжутный,12.10000038,28.9,52.4,510
Козинак Подсолнечный,14.80000019,42.6,34.5,576
Козлобородник,3.299999952,0.2,15.3,82
Козлятина,18,16,0,216
Кокосовая манна Nutiva органическая,3.299999952,30,10,334
Кокосовая стружка,13,65,14,693
Кокосовая стружка Националь,5,64,15,660
Кокосовая стружка низкой жирности,10.5,48.6,27,587
Кокосовый орех,3.400000095,33.5,6.2,354
Коктейль Bombbar протеиновый Шоколад,68,6.5,6.5,357
Коктейль Dietalika протеиновый Ягодный бриз,63,2,11,242
Коктейль Energy Diet Smart Манго,73.30000305,16.7,50,660
Коктейль Energy Diet Smart Ягодный микс,43.29999924,8.3,16,333
Коктейль Fit Parad клубничный,37,4,23,316
Коктейль Fit Parad со вкусом дыни,40,4,20,276
Коктейль Fit Parad со вкусом шоколадного пломбира,40,4,23,288
Коктейль Herbalife Восстановление силы,50.79999924,3.4,35.2,376
Коктейль Herbalife Протеиновый Формула 1,34.59999847,8.8,34.6,356
Коктейль Herbalife Протеиновый Формула 1 Спорт,35,7.6,29.7,365
Коктейль MyProtein Impact Diet Whey со вкусом клубничного песочного печенья,62,6.1,11,366
Коктейль ванильный McDonalds 400 мл,9,7,71,385
Коктейль Каждый день морской,16,2.5,0,83
Коктейль клубничный McDonalds 400 мл,9,7,71,385
Коктейль Кровавая Мэри,0.800000012,0.3,4.8,60
Коктейль Леовит Худеем за неделю белково-шоколадный,25,14.5,37.5,388
Коктейль Медитерана из морепродуктов в масле,9.300000191,31,1,319
Коктейль Меридиан из морепродуктов в масле,29.79999924,4.3,3.5,172
Коктейль Меридиан из морепродуктов в масле 415 гр,9.100000381,18,1.2,200
Коктейль Меридиан из морепродуктов в рассоле,10,1.5,1.3,59
Коктейль молочный Агуша Я Сам! кукуруза с бананом,2.5,3,10.5,85
Коктейль молочный Агуша Я Сам! рис-груша-яблоко,2.599999905,3,9.4,75
Коктейль молочный Агуша Я Сам! с гречкой,2.5,3,8,75
Коктейль молочный Здрайверы Клубника 3.2%,2.799999952,3.2,7.5,70
Коктейль молочный Здрайверы Крем-Брюле 3.0%,2.799999952,2,8.5,63
Коктейль молочный Здрайверы Шоколадный 3.0%,2.900000095,3,10,81
Коктейль молочный Милкшейк Лесная клубника KFC 400 мл,3.400000095,3.5,27.2,143
Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл,3.400000095,3.5,27.2,154
Коктейль молочный ФрутоНяня клубника-земляника,2.700000048,2.1,9,66
Коктейль морской замороженный,2.099999905,3.6,1.8,124
Коктейль Мохито,0,0,17,74
Коктейль орехи и сухофрукты,11.19999981,27.9,46.6,483
Коктейль Пина Колада,0.400000006,1.8,22.4,174
Коктейль Чудо молочное Шоколад 2%,2.799999952,2,11.9,77
Коктейль шоколадный McDonalds 400 мл,10,8,70,395
Коктейль Эгг-ног,5.5,0.1,0.4,27
Кола,0,0,10.4,42
Кола Добрый,0,0,10.6,42
Кола лайт,0,0,0,0
Колбаса вареная Велком языковая,14,17,0,210
Колбаса вареная Вязанка классическая,11,13,0,161
Колбаса вареная Диетическая,12.10000038,13.5,0,170
Колбаса вареная Докторская,12.80000019,22.2,1.5,257
Колбаса вареная Докторская Вернер,12,20,0,228
Колбаса вареная Докторская Коровино,13,15,0,187
Колбаса вареная Клинский телячья,13,22,0,252
Колбаса вареная Куриная,15.5,16.2,2.3,223
Колбаса вареная Любительская,12.19999981,28,0.1,301
Колбаса вареная МакЛарин Домашняя,8,20,0,212
Колбаса вареная Молочная,11.69999981,22.8,0.2,252
Колбаса вареная Мортаделла,16.39999962,25.3,3.1,331
Колбаса вареная Московская,11.5,21.8,2,250
Колбаса вареная Русская,11.80000019,28.9,0,302
Колбаса вареная Свиная,10.80000019,25.8,0.5,277
Колбаса вареная Столичная,15.10000038,28.7,0,319
Колбаса вареная Столовая,11.10000038,20.2,1.9,234
Колбаса вареная Чайная,11.69999981,18.4,1.9,216
Колбаса варено-копченая Востряково из курицы,19,11,0,179
Колбаса варено-копченая куриная жареная,19.70000076,17.4,1.7,371
Колбаса варено-копченая Любительская,17.20000076,39,0.2,420
Колбаса варено-копченая Московская,19.10000038,36.6,0.2,406
Колбаса варено-копченая Рублёвский Балыковая,12,25,0,270
Колбаса варено-копченая сервелат,16.10000038,40.1,0,425
Колбаса варено-копченая сервелат боярский,14,21,0,269
Колбаса варено-копченая сервелат Велком финский,15,25.5,0,290
Колбаса варено-копченая сервелат Вернер,16,47,0,487
Колбаса варено-копченая сервелат Вязанка Столичный,15,27,0,303
Колбаса варено-копченая сервелат Дымов в вакууме,14,24,0,272
Колбаса варено-копченая сервелат Дымов Ореховый,13,38,0,394
Колбаса варено-копченая сервелат Клинский Финский,13,32,0,340
Колбаса варено-копченая сервелат Останкино Зернистый,10,37,0,385
Колбаса варено-копченая сервелат российский,13,39,1,410
Колбаса вегетарианская,21.70000076,12.3,1.8,207
Колбаса вегетарианская Велком Классическая,4,5,9,100
Колбаса вегетарианская Велком с грибами,4,5,8,90
Колбаса вегетарианская горячего копчения Московская Премиум,20,22,8,210
Колбаса вегетарианская полукопченая Vego с сыром постная,19,16,12,270
Колбаса ливерная,14.39999962,28.5,2.2,326
Колбаса ливерная Атяшево Печеночная,4,16,11,200
Колбаса ливерная Баварская,11,18,2,210
Колбаса ливерная Окраина традиционная,13,19,6,250
Колбаса ливерная Рублёвский яичная,11,34,4,370
Колбаса печеночная домашняя,15,22,0,258
Колбаса полукопченая Дымов салями Финская,10,47,0,463
Колбаса полукопченая Закусочная,15,33,2.3,366
Колбаса полукопченая Краковская,16.20000076,44.6,0,466
Колбаса полукопченая Краковская Вернер,14,45,0,461
Колбаса полукопченая Краковская МД Бородина,16,27,0,307
Колбаса полукопченая Минская,17.39999962,23,2.7,287
Колбаса полукопченая Одесская,14.80000019,38.1,0.3,402
Колбаса полукопченая Останкино салями Венская,10,37,0,390
Колбаса полукопченая Полтавская,16.39999962,39,0,417
Колбаса полукопченая салями любительская,12,50,0,498
Колбаса полукопченая Таллиннская,17.10000038,33.8,0.2,373
Колбаса полукопченая Украинская,16.5,34.4,0,376
Колбаса полукопченая Чесночная Папа может,12,21,3,249
Колбаса сыровяленая Дымов салями Милано,21,28,2,344
Колбаса сыровяленая Мясницкий ряд Милано нарезка,15,45,0,465
Колбаса сыровяленая полусухая Casademont Fuet Extra,24,32,0,384
Котлеты из баранины отбивные,20.60000038,30.6,9.1,394
Колбаса сыровяленая полусухая Casademont Fuet Extra с перцем,22,32,0,376
Колбаса сыровяленая полусухая Parlo Italiano Салями Милано,10,55,0,540
Колбаса сыровяленая полусухая Salumi di Bosco Салями традиционная,28,19,1,290
Колбаса сыровяленая полусухая Егорьевская ФКГ с трюфелем,16,40,1,428
Колбаса сыровяленая Сальчичон,17,31,1.1,351
Колбаса сыровяленая Суджук,30.29999924,37.9,0,463
Колбаса сыровяленая Сытный Дом Сопресатта из говядины,18,35,0.2,402
Колбаса сыровяленая Чоризо,24.10000038,38.3,1.9,455
Колбаса сырокопченая Ближние горки Тоскана,25,30,0,370
Колбаса сырокопченая брауншвейгская,27.70000076,42.2,0.2,491
Колбаса сырокопченая Доброгост Пепперони,16,46,0,480
Колбаса сырокопченая Дымов Классик,24,26,0,330
Колбаса сырокопченая Дымов Пепперони,15,45,0,465
Колбаса сырокопченая зернистая,9.899999619,62.8,0.3,606
Колбаса сырокопченая Клинский свиная,11,57.3,0,568
Колбаса сырокопченая любительская,20.89999962,47.8,0,514
Колбаса сырокопченая московская,24.79999924,41.5,0,473
Колбаса сырокопченая Охотничья Папа может,21,48,0,516
Колбаса сырокопченая Палермо Егорьевская ФКГ,16,42,0,446
Колбаса сырокопченая полусухая Велком Чикен салями №2,21,30,0,350
Колбаса сырокопченая полусухая Дымов коньячная,18,44,0,468
Колбаса сырокопченая Раменский деликатес Европейская,11,49,0,485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная,16,44,2,470
Колбаса сырокопченая Раменский деликатес Салями Парма,20,42,0,460
Колбаса сырокопченая Раменский деликатес Сицилийская,15,48,0,490
Колбаса сырокопченая Салями Итальянская,11,63,0,631
Колбаса сырокопченая свиная,13,57.3,0.2,568
Колбаса сырокопченая сервелат,24,40.5,0,461
Колбаса сырокопченая сервелат Дымов,15,53,0,537
Колбаса сырокопченая столичная,24,43.4,0,487
Колбаса сырокопченая сухая Велком Миланская,20,34,0,390
Колбаса сырокопченая Черкизово Сальчичон,17,34,1,366
Колбаса сырокопченая Черкизово Салями Астория,25,30,5,390
Колбаса сырокопченая Эколь Халяль Говяжья нарезка,31,11,0,228
Колбаски Балканские Vego постные,18,14,3.1,213
Колбаски Ближние горки Шашлычные из свинины,12,38,0,282
Колбаски варено-копченые Папа может Снэки,25,19,0,430
Колбаски Вернер Шашлычные из свинины,13,22,0,250
Колбаски домашние Ганна из мяса птицы,16,23,2.7,279
Колбаски из горбуши жареные в соусе терияки,11,7,12,160
Колбаски Кнуты Афанасий из говядины и оленины,45,13,0,297
Колбаски Мираторг Black Angus классические,12,35,0,360
Колбаски Мираторг Чевапчичи Black Angus,12,35,0,360
Колбаски Мираторг Чевапчичи из свинины по-домашнему,10,32,0,330
Колбаски Петруха Мастер из мяса цыплят-бройлеров оригинальные,16,18,0,230
Колбаски полукопченые Ближние горки Охотничьи,14,46,0,470
Колбаски полукопченые Дымов охотничьи,25.70000076,40,0,463
Колбаски полукопченые Окраина охотничьи,14,46,0,470
Колбаски полукопченые охотничьи,27.39999962,24.3,0,326
Колбаски Рублёвский Имеретинские для жарки,12,17,0.3,220
Колбаски рубленые Троекурово с пряными травами,15,10,0,150
Колбаски рубленые Черкизово из свинины для жарки,15,33,2,365
Колбаски Самсон Грильмания 4х4,12.80000019,17.8,3,230
Колбаски Слово Мясника из свинины Баварские рубленые охлажденные,12,30,0,320
Котлеты из баранины рубленые,13.60000038,14.8,12.9,240
Колбаски Слово Мясника из свинины и говядины Чевапчичи рубленые охлажденные,12,35,0,360
Колбаски сырокопченые Дымов Пиколини Дижонская горчица,18,50,0,520
Колбаски сырокопченые Дымов Пиколини Пармезан,18,50,0,520
Колбаски сырокопченые Дымов Пиколини Хамон,18,50,0,520
Колбаски сырокопченые Ремит Kabanos Chicken,25,35,3,430
Колбаски сырокопченые Ремит Kabanos Chili,25,35,2.5,440
Колбасный фарш,12.30000019,32.4,2.9,352
Колоказия съедобная,1.5,0.2,26.5,112
Компот из сухофруктов без сахара,0.800000012,0,14.2,60
Компотное ассорти Hortex с клубникой,1.100000024,0.3,3.2,52
Конвертик слоеный,6.5,8.1,53.4,313
Конгрио,19.10000038,1.9,0,94
Конина,20.20000076,7,0,187
Конина вареная,30.79999924,13,0,240
Конина жареная,34.29999924,17.4,0,293
Конина тушеная,25,12.7,0,214
Конкильони,10.39999962,1.1,71.5,344
Конфеты 35 со сливочной начинкой,4.5,30,60,530
Конфеты Ferrero Rocher,8.800000191,41.3,43.2,580
Конфеты Haribo Chamallows,3.5,0.5,80,332
Конфеты Raffaello,9.300000191,47.8,38.8,623
Конфеты Rondo с ароматом мяты,0.600000024,0,98.4,405
Конфеты Бабаевские Оригинальные с фундуком и какао,14,34,41,540
Конфеты Бабаевский Белочка,8.800000191,33.1,53.4,538
Конфеты батончики Рот-Фронт,10.69999981,29.5,53.2,514
Конфеты Визит,9,35,51,549
Конфеты грильяжные,5.300000191,26.9,65.6,523
Конфеты Коровка сливочная,2.700000048,4.4,82.4,351
Конфеты Красный октябрь Сливочная помадка с цукатом,3.5,14,69,420
Конфеты Кремлина Чернослив,2.200000048,14.3,59.8,377
Конфеты кремовые,7.5,31.8,55.8,523
Конфеты лакричные,3.700000048,10,69,385
Конфеты манго Romiz,0,21,79,320
Конфеты Марсианка Чизкейк,2.5,14.2,63.8,375
Конфеты молочные,2.700000048,4.3,82.3,364
Конфеты Озерский сувенир Вишня Владимировна в шоколаде,3,20,63,440
Конфеты Озерский сувенир Курага Петровна в шоколаде,5,14.8,57,312
Конфеты Озерский сувенир Орех Сергеевич Грецкий в шоколаде,8.5,44.2,38,580
Конфеты Озерский сувенир Фундук Петрович в шоколаде,8.5,48,41,630
Конфеты Победа вкуса Трюфели без сахара,6.5,44,26,530
Конфеты помадные,2.200000048,4.6,83.6,369
Конфеты Славянка Золотой степ глазированные арахис карамель,10,27.4,51.4,498
Конфеты Славянка Лёвушка,1,7.4,74.4,371
Конфеты Спринт с печеньем,4.900000095,21.7,67.3,420
Конфеты фруктовые,1.600000024,8.6,75.8,369
Конфеты шоколадные,4,39.5,54.2,569
Конфитюр,0.899999976,0.2,40.3,183
Концентрат соуса карри S&B Golden Curry,6.099999905,28,51.1,483
Концентрат сывороточный белковый КСБ-УФ-55,55,0,22.5,310
Коньяк,0,0,0.1,239
Коньячная эссенция,0,0,0,0
Корейка,13.69999981,36.5,0,384
Корейка копчено-запеченная,10.19999981,48.2,0,475
Корейка свиная б/к (карбонад),17,25,0,301
Корейка сырокопченая,10.5,47.4,0,469
Корж молочный Ржевка Хлеб,6,11,64,390
Коржи бисквитные готовые,5.900000095,0.8,56.3,258
Коржи вафельные,10.19999981,4.2,65.7,341
Коржи для медовика,6.300000191,11.4,64.5,384
Кориандр,1.5,0,5,25
Кориандр молотый,12.30000019,17.7,13.1,298
Корица,3.900000095,3.2,79.8,261
Корлан,0.699999988,0.2,18,82
Корюшка,15.39999962,4.5,0,102
Котлета Мираторг по-киевски с молодым картофелем в сливочном соусе,6.300000191,10,13.3,168
Котлета Сытоедов куриная с картофельным пюре под белым грибным соусом,6.5,10,11,160
Котлеты Вернер куриные,14,10,2,154
Котлеты гречневые Мистраль,12,3,58,310
Котлеты из говядины,18,20,0,260
Котлеты из говядины рубленые,14.19999981,11.4,13,213
Котлеты из индейки,18.60000038,12.2,8.7,220
Котлеты из курицы (готовые),18.20000076,10.4,13.8,222
Котлеты из мяса цыплят рубленые,15.19999981,13.6,13.5,238
Котлеты из свинины и говядины Черкизово рубленые,18,13,0,189
Котлеты из свинины отбивные,17.5,40.3,8.8,470
Котлеты из свинины рубленые,13.60000038,45.7,0,466
Котлеты из свинины сырые,27.29999924,13.4,0,238
Котлеты из телятины,23,31,0,375
Котлеты из трески,12.60000038,5.9,15,164
Котлеты из филе бедра и филе грудки Петелинка,18,7,6,160
Котлеты Мираторг из говядины Black Angus,12,35,0,360
Котлеты нутовые Вкусное дело,20.79999924,1.8,49.7,288
Котлеты нутовые Мистраль,12,12,53,360
Котлеты чечевичные Вкусное дело,19.20000076,2.2,54.8,307
Кофе Maxwell House гранулированный сухой,14.60000038,0,10.3,100
Кофе Maxwell House растворимый сухой,14.60000038,0,10.3,100
Кофе жареный в зёрнах сухой,13.89999962,14.4,15.6,223
Кофе зелёный сухой,12.30000019,0.2,35.7,222
Кофе капучино,1.5,1.8,2.5,32
Кофе латте,2,2.1,3.2,40
Кофе латте макиато,1.5,1.4,2,29
Кофе Леовит Худеем за неделю Капуччино для похудения жиросжигающий комплекс,6,15,84,500
Кофе моккачино,2.799999952,10.6,46.5,289
Кофе натуральный молотый сухой,13.89999962,14.4,4.1,201
Кофе по-Венски,1.100000024,6.7,1.4,70
Кофе по-ирландски,0,4.5,4,114
Кофе Президент молотый сухой,13.89999962,14.4,2.8,218
Кофе растворимый сухой,15,3.5,0,94
Кофе с молоком и сахаром,0.699999988,1,11.2,58
Кофе со сгущенным молоком,0.699999988,0.9,10.9,55
Кофе со сгущенным молоком и сахаром,0.600000024,0.6,13.6,62
Кофе черный,0.200000003,0,0.3,2
Кофе Чибо растворимый сухой,18.10000038,0.7,46.3,264
Кофе эспрессо макиато,1.100000024,0.8,1.8,19
Кофейный напиток,6,4.8,71.2,337
Кофейный напиток iCafe Iced French Vanilla Coffe,1,1.2,7.1,43
Кофейный напиток iCafe Iced Mocha,1.200000048,1.2,9.2,52
Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1,3,8,86,420
Кофейный напиток Nescafé Xpress Choko Latte,1.399999976,1.2,8.3,52
Кофейный напиток Nescafé Xpress Vanilla,1.399999976,1.3,8.3,51
Краб голубой,18.10000038,1.1,0,87
Краб камчатский,18.29999924,0.6,0,84
Крабовая колбаса,15.19999981,0.9,6.8,99
Крабовое мясо,6,1,10,73
Крабовое мясо Мирамар,15.39999962,6.9,4,140
Крабовое мясо Санта Бремор,4.900000095,1.7,12.3,84
Крабовые палочки,6,1,10,73
Крабовые палочки VICI Имитация из сурими (замороженные),6.400000095,1,18,107
Крабовые палочки VICI сочные,6,1,10,73
Крабовые палочки Лунское море,5.400000095,1.1,21,116
Крабовые палочки Меридиан для салата,7.5,4.8,13.4,130
Крабовые палочки Меридиан охлажденные,7.599999905,0.4,13.8,90
Крабовые палочки Меридиан с мягким сыром с белыми грибами,10,4.4,10.2,120
Крабовые палочки Меридиан с мягким сыром с чесноком и зеленью,10,4.4,10.2,120
Крабовые палочки Меридиан Снежный краб,15.39999962,6.9,4,140
Крабовые палочки Мирамар,15.39999962,6.9,4,140
Крабовые палочки Санта Бремор Снежный краб,8.899999619,1,6.3,70
Крабы консервированные,18.70000076,1.1,0.1,85
Крабы отварные,16,3.6,0,96
Крапива,2.599999905,0.3,5.2,33
Краситель пищевой,0,0,0,0
Красноглазка,21.89999962,4.2,0,125
Краснопёрка,18.29999924,3,0,100
Крахмал картофельный,0.100000001,0,79.6,300
Крахмал кукурузный,1,0.6,85.2,329
Крахмал пшеничный,11.19999981,1.5,85.1,344
Крахмал тапиоковый,0,0,88,360
Креветка Балтийский берег рубленая в сливочно-чесночном соусе,5,45,4.5,440
Креветка Балтийский берег рубленая в сливочном соусе,5.5,45,5,450
Креветка Балтийский берег рубленая в соусе с копчёным лососем,6,42,5.5,420
Креветки Polar Premium свежемороженые,17,1.2,1,80
Креветки консервированные,17.79999924,1.1,0,81
Креветки Королевские,18.29999924,1.2,0.8,87
Креветки маринованные,12.19999981,1.3,0,60
Креветки отварные,18.89999962,2.2,0,95
Креветки очищенные замороженные,14,1,0,60
Креветки свежие,22,1,0,97
Креветки Тигровые,19.20000076,0.6,0,89
