product_name,protein_value,fat_value,carbohydrate_value,kcal_value
Ацидофилин 0.1%,3,0.1,3.9,31
Ацидофилин 1%,3,1,4,40
Ацидофилин 3.2%,2.799999952,3.2,3.8,57
Ацидофилин 3.2% сладкий,2.799999952,3.2,8.6,77
Ацидофилин Останкинский 2.5%,2.799999952,2.5,4.2,51
Баветте,11,1.3,70.5,351
Багель,7.900000095,9.4,55.5,339
Багет,7.5,2.9,51.4,262
Багет мини с отрубями,6.400000095,0.8,39.1,189
Багет чесночный,7.5,15,49,360
Бадьян,18,16,50,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.39999962,4,61,251
Баклажан,1.200000048,0.1,4.5,24
Баклажан белый,1.200000048,0.1,4.6,24
Баклажан замороженный,1.299999952,0.1,5.2,27
Баклажан консервированный,0.899999976,0.7,7.3,49
Баклажанная икра консервированная,1.700000048,13.3,5.1,148
Баклажанная икра свежая,0.600000024,7,6,90
Баклажаны 4 сезона запечённые порционные,2.099999905,0.2,8.9,48
Баклажаны 4 сезона нарезанные,1.299999952,0.1,5.2,27
Баклажаны по-корейски готовые,0,9,6.5,109
Баклажаны фаршированные готовые,1.5,6.1,7.3,79
Бамбук листья,2,0,4,32
Бамбук побеги вареные,1.5,0.2,0.9,12
Бамбук побеги консервированные,1.700000048,0.4,1.8,19
Бамбук побеги сырые,2.599999905,0.3,3,27
Бамия,2,0.1,3.8,25
Бамия 4 сезона,0.200000003,0.1,8,23
Банан,1.5,0.2,21.8,95
Банановый сок,0,0,12,48
Бананы сушёные,3.900000095,1.8,80.5,390
Барабулька (султанка),19.39999962,3.8,0,117
Бараний окорок,18,18,0,232
Бараний рубец,11.5,4,0,82
Бараний фарш,17,23,0,282
Бараний язык,12.60000038,16.1,0,195
Баранина,15.60000038,16.3,0,209
Баранина вареная,24.60000038,21.4,0,291
Баранина жареная,20,24,0,320
Баранина тушеная,20,20.9,0,268
Баранки,16,1,70,336
Баранье сердце,13.5,2.5,0,82
Бараньи почки,13.60000038,2.5,0,77
Бараньи яйца,13,19,0.1,230
Баранья лопатка,15.60000038,25,0,284
Баранья печень,18.70000076,2.9,0,101
Барбарис,0,0,7.9,29
Барбарис сушеный,0,0,38,152
Баренцев Анчоус солёно-сушёный,49,7,0,259
Баренцев Кальмар кольца,53,2,3,242
Баренцев Кальмар копчёный,53,2,3,242
Баренцев Кальмар солёно-сушёный,62,2,5,286
Баренцев Креветка со специями,36,4,3,192
Баренцев Окинэль ломтики филе,50.70000076,8.6,0,280
Баренцев Окинэль с перцем,50.70000076,8.6,0,280
Баренцев Соломка рыбная оригинальная,46,3,5,231
Баренцев Соломка рыбная подкопченная,46,3,5,231
Баренцев Сомуль солёно-сушёный,65.80000305,1.2,0,274
Баренцев Ставридка золотистая подкопченная,48,8,0,264
Баренцев Ставридка серебристая солёно-сушёная,48,8,0,264
Баренцев Тунец солёно-сушёный,57.79999924,0.3,0,234
Баренцев Чиксы рыбка с перцем,50.70000076,8.6,0,280
Баскет 16 крыльев,13.80000019,19.5,18.6,306
Баскет 25 крыльев,16.60000038,20.7,15.4,314
Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
Баскет Пати,10.19999981,17,22.3,284
Баскет Стар,17,15.1,17.2,273
Бастурма турецкая,14.80000019,20.1,0,240
Батард ржаной,7.900000095,1.8,49.7,250
Батон Нарезной,7.5,2.9,50.9,264
Батон Подмосковный,7.5,2.6,50.6,261
Батон Пышный Зерновая коллекция,8,2.5,44,230
Батон с пшеничными отрубями,9.199999809,2.8,51.4,273
Батон Столичный,7.699999809,0.8,50.2,243
Батончик Bombbar Кето Миндальная нуга с ванилью,20,35,10.2,484
Батончик Bombbar Кето Тропический кокос и миндаль,20,35,10,484
Батончик Bombbar Кето Шоколадное парфе с миндалем,20,35,11,486
Батончик Bombbar протеиновый Грецкий орех с медом,20,6.3,2.2,148
Батончик Bombbar протеиновый Датский бисквит,33,8.5,8,292
Батончик Bombbar протеиновый Шоколад,20,5.7,6.1,156
Батончик BSN Syntha-6 Decadence,31.60000038,12.6,44.2,389
Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.29999924,11.8,40,376
Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.59999847,14.1,24.7,412
Батончик Effort протеиновый Ваниль-Печенье,30,14,43,418
Батончик Energy System Perform-Bar,10,5,73,374
Батончик FITKIT Extra Protein Bar Almond Latte (Миндальный Латте),27.20000076,12.7,27.2,327
Батончик FITKIT Extra Protein Bar Banana Flambe (Банановый Фламбе),27.20000076,12.7,27.2,327
Батончик FITKIT Extra Protein Bar Cherry Brownie (Вишневый Брауни),27.20000076,14.5,27.2,345
Батончик FITKIT Extra Protein Bar Pina Colada (Пина Колада),27.29999924,12.7,27.3,327
Батончик FITKIT Extra Protein Bar Triple Chocolate (Тройной Шоколад),27.29999924,14.5,27.3,345
Батончик FITKIT Protein Bar Coconut Souffle (Кокосовое Суфле),25,7.2,20,265
Батончик FITKIT Protein Bar Double Chocolate (Двойной Шоколад),25,7.5,20,268
Батончик FITKIT Protein Bar Hazelnut-Chocolate (Шоколад-Фундук),25,7.5,20,268
Батончик FITKIT Protein Bar Mango-Passion Fruit (Манго-Маракуйя),25,6.6,20,260
Батончик FITKIT Protein Bar Mocaccino (Моккачино),25,7.5,20,268
Батончик FITKIT Protein Bar Peanut Cake (Арахисовый Торт),25,7,20,263
Батончик FITKIT Protein Bar Pistachio Ice Cream (Фисташковый Пломбир),25,6.7,20,260
Батончик FITKIT Protein Bar Raspberry Cheesecake (Малиновый Чизкейк),25,6.6,20,260
Батончик FITKIT Protein Bar Salted Caramel (Солёная Карамель),25,6.7,20,260
Батончик FITKIT Protein Bar Strawberry Trifle (Клубничный Трайфл),25,6.6,20,260
Батончик Herbalife Протеиновый,29,8.6,46,383
Батончик Herbalife Формула 1 Экспресс,23.70000076,10.7,37.1,369
Батончик Ironman Slim Bar протеиновый с L-карнитином,14,8,48,320
Батончик Multipower 32% Protein Pack,31.70000076,11,45,407
Батончик Multipower Crunch Fit,15.80000019,14.7,55.6,419
Батончик Multipower Energate!,20,21.7,42.9,451
Батончик Multipower L-Carnitine Bar,25,8.6,38,348
Батончик Multipower Power Pack,28.60000038,10.6,45.7,389
Батончик MyProtein My Bar Zero,31,9.5,3.9,304
Батончик Nattys&Go! Brownie с арахисовой пастой и какао,16,35,45,540
Батончик Nattys&Go! Protein с арахисовой пастой,21,30,39,500
Батончик Nattys&Go! с кокосом,9,41,51,600
Батончик Nestle Fitness с цельными злаками и клубникой,5.800000191,6.7,68.9,369
Батончик Optimum 100% Whey Crisp Bar,37.09999847,3.6,48.6,357
Батончик Optimum Complete Protein Diet Bar,40,6,36,360
Батончик Optimum Optimal Protein Diet Bar,40,5,46,360
Батончик Performance Bar,5.900000095,19.3,60.4,439
Батончик Power Pro с арахисом и карамелью с нугой,16.60000038,18.6,15.6,350
Батончик Quest Bar протеиновый Шоколад с фундуком,33.29999924,13.3,6.6,317
Батончик Rocket Energy с кокосом и шоколадом,5.900000095,41,28.6,462
"Батончик Rocket Energy с чаем матча, кокосом и ананасом",3.5,42.8,28.6,467
Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,50,8.2,26,378
